Yo: olvidé, Tú: olvidaste, Él/Ella: olvidó, Nosotros: olvidamos, Vosotros: olvidasteis, Ellos/Ellas: olvidaron	olvidar
Yo: traí, Tú: traiste, Él/Ella: traió, Nosotros: traimos, Vosotros: traisteis, Ellos/Ellas: traieron	traer
Yo: leí, Tú: leiste, Él/Ella: leió, Nosotros: leimos, Vosotros: leisteis, Ellos/Ellas: leieron	leer
Yo: conté, Tú: contaste, Él/Ella: contó, Nosotros: contamos, Vosotros: contasteis, Ellos/Ellas: contaron	contar
Yo: cambié, Tú: cambiaste, Él/Ella: cambió, Nosotros: cambiamos, Vosotros: cambiasteis, Ellos/Ellas: cambiaron	cambiar
Yo: dormí, Tú: dormiste, Él/Ella: dormió, Nosotros: dormimos, Vosotros: dormisteis, Ellos/Ellas: dormieron	dormir
Yo: desperté, Tú: despertaste, Él/Ella: despertó, Nosotros: despertamos, Vosotros: despertasteis, Ellos/Ellas: despertaron	despertar
Yo: corrí, Tú: corriste, Él/Ella: corrió, Nosotros: corrimos, Vosotros: corristeis, Ellos/Ellas: corrieron	correr
Yo: jugé, Tú: jugaste, Él/Ella: jugó, Nosotros: jugamos, Vosotros: jugasteis, Ellos/Ellas: jugaron	jugar
Yo: gané, Tú: ganaste, Él/Ella: ganó, Nosotros: ganamos, Vosotros: ganasteis, Ellos/Ellas: ganaron	ganar
Yo: perdí, Tú: perdiste, Él/Ella: perdió, Nosotros: perdimos, Vosotros: perdisteis, Ellos/Ellas: perdieron	perder
Yo: pagé, Tú: pagaste, Él/Ella: pagó, Nosotros: pagamos, Vosotros: pagasteis, Ellos/Ellas: pagaron	pagar
Yo: recibí, Tú: recibiste, Él/Ella: recibió, Nosotros: recibimos, Vosotros: recibisteis, Ellos/Ellas: recibieron	recibir
Yo: morí, Tú: moriste, Él/Ella: morió, Nosotros: morimos, Vosotros: moristeis, Ellos/Ellas: morieron	morir
Yo: viví, Tú: viviste, Él/Ella: vivió, Nosotros: vivimos, Vosotros: vivisteis, Ellos/Ellas: vivieron	vivir
Yo: nací, Tú: naciste, Él/Ella: nació, Nosotros: nacimos, Vosotros: nacisteis, Ellos/Ellas: nacieron	nacer
Yo: aprendí, Tú: aprendiste, Él/Ella: aprendió, Nosotros: aprendimos, Vosotros: aprendisteis, Ellos/Ellas: aprendieron	aprender
Yo: enseñé, Tú: enseñaste, Él/Ella: enseñó, Nosotros: enseñamos, Vosotros: enseñasteis, Ellos/Ellas: enseñaron	enseñar
Yo: ayudé, Tú: ayudaste, Él/Ella: ayudó, Nosotros: ayudamos, Vosotros: ayudasteis, Ellos/Ellas: ayudaron	ayudar
Yo: serví, Tú: serviste, Él/Ella: servió, Nosotros: servimos, Vosotros: servisteis, Ellos/Ellas: servieron	servir
Yo: usé, Tú: usaste, Él/Ella: usó, Nosotros: usamos, Vosotros: usasteis, Ellos/Ellas: usaron	usar
Yo: necesité, Tú: necesitaste, Él/Ella: necesitó, Nosotros: necesitamos, Vosotros: necesitasteis, Ellos/Ellas: necesitaron	necesitar
Yo: gusté, Tú: gustaste, Él/Ella: gustó, Nosotros: gustamos, Vosotros: gustasteis, Ellos/Ellas: gustaron	gustar
