Yo: cambio, Tú: cambias, Él/Ella: cambia, Nosotros: cambiamos, Vosotros: cambiáis, Ellos/Ellas: cambian	cambiar
Yo: dormo, Tú: dormes, Él/Ella: dorme, Nosotros: dormimos, Vosotros: dormís, Ellos/Ellas: dormen	dormir
Yo: desperto, Tú: despertas, Él/Ella: desperta, Nosotros: despertamos, Vosotros: despertáis, Ellos/Ellas: despertan	despertar
Yo: corro, Tú: corres, Él/Ella: corre, Nosotros: corremos, Vosotros: corréis, Ellos/Ellas: corren	correr
Yo: jugo, Tú: jugas, Él/Ella: juga, Nosotros: jugamos, Vosotros: jugáis, Ellos/Ellas: jugan	jugar
Yo: gano, Tú: ganas, Él/Ella: gana, Nosotros: ganamos, Vosotros: ganáis, Ellos/Ellas: ganan	ganar
Yo: perdo, Tú: perdes, Él/Ella: perde, Nosotros: perdemos, Vosotros: perdéis, Ellos/Ellas: perden	perder
Yo: pago, Tú: pagas, Él/Ella: paga, Nosotros: pagamos, Vosotros: pagáis, Ellos/Ellas: pagan	pagar
Yo: recibo, Tú: recibes, Él/Ella: recibe, Nosotros: recibimos, Vosotros: recibís, Ellos/Ellas: reciben	recibir
Yo: moro, Tú: mores, Él/Ella: more, Nosotros: morimos, Vosotros: morís, Ellos/Ellas: moren	morir
Yo: vivo, Tú: vives, Él/Ella: vive, Nosotros: vivimos, Vosotros: vivís, Ellos/Ellas: viven	vivir
Yo: naco, Tú: naces, Él/Ella: nace, Nosotros: nacemos, Vosotros: nacéis, Ellos/Ellas: nacen	nacer
Yo: aprendo, Tú: aprendes, Él/Ella: aprende, Nosotros: aprendemos, Vosotros: aprendéis, Ellos/Ellas: aprenden	aprender
Yo: enseño, Tú: enseñas, Él/Ella: enseña, Nosotros: enseñamos, Vosotros: enseñáis, Ellos/Ellas: enseñan	enseñar
Yo: ayudo, Tú: ayudas, Él/Ella: ayuda, Nosotros: ayudamos, Vosotros: ayudáis, Ellos/Ellas: ayudan	ayudar
Yo: servo, Tú: serves, Él/Ella: serve, Nosotros: servimos, Vosotros: servís, Ellos/Ellas: serven	servir
Yo: uso, Tú: usas, Él/Ella: usa, Nosotros: usamos, Vosotros: usáis, Ellos/Ellas: usan	usar
Yo: necesito, Tú: necesitas, Él/Ella: necesita, Nosotros: necesitamos, Vosotros: necesitáis, Ellos/Ellas: necesitan	necesitar
Yo: gusto, Tú: gustas, Él/Ella: gusta, Nosotros: gustamos, Vosotros: gustáis, Ellos/Ellas: gustan	gustar
