Yo: olvidaré, Tú: olvidarás, Él/Ella: olvidará, Nosotros: olvidaremos, Vosotros: olvidaréis, Ellos/Ellas: olvidarán	oublier
Yo: traeré, Tú: traerás, Él/Ella: traerá, Nosotros: traeremos, Vosotros: traeréis, Ellos/Ellas: traerán	apporter
Yo: leeré, Tú: leerás, Él/Ella: leerá, Nosotros: leeremos, Vosotros: leeréis, Ellos/Ellas: leerán	lire
Yo: contaré, Tú: contarás, Él/Ella: contará, Nosotros: contaremos, Vosotros: contaréis, Ellos/Ellas: contarán	raconter
Yo: cambiaré, Tú: cambiarás, Él/Ella: cambiará, Nosotros: cambiaremos, Vosotros: cambiaréis, Ellos/Ellas: cambiarán	changer
Yo: dormiré, Tú: dormirás, Él/Ella: dormirá, Nosotros: dormiremos, Vosotros: dormiréis, Ellos/Ellas: dormirán	dormir
Yo: despertaré, Tú: despertarás, Él/Ella: despertará, Nosotros: despertaremos, Vosotros: despertaréis, Ellos/Ellas: despertarán	réveiller
Yo: correré, Tú: correrás, Él/Ella: correrá, Nosotros: correremos, Vosotros: correréis, Ellos/Ellas: correrán	courir
Yo: jugaré, Tú: jugarás, Él/Ella: jugará, Nosotros: jugaremos, Vosotros: jugaréis, Ellos/Ellas: jugarán	jouer
Yo: ganaré, Tú: ganarás, Él/Ella: ganará, Nosotros: ganaremos, Vosotros: ganaréis, Ellos/Ellas: ganarán	gagner
Yo: perderé, Tú: perderás, Él/Ella: perderá, Nosotros: perderemos, Vosotros: perderéis, Ellos/Ellas: perderán	perdre
Yo: pagaré, Tú: pagarás, Él/Ella: pagará, Nosotros: pagaremos, Vosotros: pagaréis, Ellos/Ellas: pagarán	payer
Yo: recibiré, Tú: recibirás, Él/Ella: recibirá, Nosotros: recibiremos, Vosotros: recibiréis, Ellos/Ellas: recibirán	recevoir
Yo: moriré, Tú: morirás, Él/Ella: morirá, Nosotros: moriremos, Vosotros: moriréis, Ellos/Ellas: morirán	mourir
Yo: viviré, Tú: vivirás, Él/Ella: vivirá, Nosotros: viviremos, Vosotros: viviréis, Ellos/Ellas: vivirán	vivre
Yo: naceré, Tú: nacerás, Él/Ella: nacerá, Nosotros: naceremos, Vosotros: naceréis, Ellos/Ellas: nacerán	naître
Yo: aprenderé, Tú: aprenderás, Él/Ella: aprenderá, Nosotros: aprenderemos, Vosotros: aprenderéis, Ellos/Ellas: aprenderán	apprendre
Yo: enseñaré, Tú: enseñarás, Él/Ella: enseñará, Nosotros: enseñaremos, Vosotros: enseñaréis, Ellos/Ellas: enseñarán	enseigner
Yo: ayudaré, Tú: ayudarás, Él/Ella: ayudará, Nosotros: ayudaremos, Vosotros: ayudaréis, Ellos/Ellas: ayudarán	aider
Yo: serviré, Tú: servirás, Él/Ella: servirá, Nosotros: serviremos, Vosotros: serviréis, Ellos/Ellas: servirán	servir
Yo: usaré, Tú: usarás, Él/Ella: usará, Nosotros: usaremos, Vosotros: usaréis, Ellos/Ellas: usarán	utiliser
Yo: necesitaré, Tú: necesitarás, Él/Ella: necesitará, Nosotros: necesitaremos, Vosotros: necesitaréis, Ellos/Ellas: necesitarán	avoir besoin
Yo: gustaré, Tú: gustarás, Él/Ella: gustará, Nosotros: gustaremos, Vosotros: gustaréis, Ellos/Ellas: gustarán	plaire
