bv:stink, pr:stank, pp:stunk	puer 
bv:stride, pr:strode, pp:stridden	marcher à grands pas 
bv:strike, pr:struck, pp:struck	frapper 
bv:string, pr:strung, pp:strung	enfiler, tendre (une corde) 
bv:strive, pr:strove, pp:striven	s'efforcer 
bv:swear, pr:swore, pp:sworn	jurer 
bv:sweep, pr:swept, pp:swept	balayer 
bv:swell, pr:swelled, pp:swollen	enfler 
bv:swim, pr:swam, pp:swum	nager 
bv:swing, pr:swung, pp:swung	se balancer 
bv:take, pr:took, pp:taken	prendre 
bv:teach, pr:taught, pp:taught	enseigner 
bv:tear, pr:tore, pp:torn	déchirer 
bv:tell, pr:told, pp:told	dire, raconter 
bv:think, pr:thought, pp:thought	penser 
bv:throw, pr:threw, pp:thrown	jeter 
bv:thrust, pr:thrust, pp:thrust	enfoncer 
bv:tread, pr:trod, pp:trodden	fouler aux pieds 
bv:undergo, pr:underwent, pp:undergone	subir 
bv:understand, pr:understood, pp:understood	comprendre 
bv:upset, pr:upset, pp:upset	bouleverser 
bv:wake, pr:woke, pp:woken	(se) réveiller 
bv:wear, pr:wore, pp:worn	porter (des vêtements) 
bv:weave, pr:wove, pp:woven	tisser 
bv:weep, pr:wept, pp:wept	pleurer 
bv:win, pr:won, pp:won	gagner 
bv:wind, pr:wound, pp:wound	enrouler 
bv:withdraw, pr:withdrew, pp:withdrawn	(se) retirer 
bv:wring, pr:wrung, pp:wrung	tordre 
bv:write, pr:wrote, pp:written	écrire
